157.245.62.201 - - [10/Apr/2023:21:49:28 +0700] "POST /wp-cron.php?doing_wp_cron=1681138168.8716790676116943359375 HTTP/2.0" 200 20 "-" "WordPress/6.2; https://tokoyafi.my.id"
125.163.226.93 - - [10/Apr/2023:21:49:28 +0700] "GET /favicon.ico HTTP/2.0" 302 0 "https://157.245.62.201//" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:49:29 +0700] "GET /wp-includes/images/w-logo-blue-white-bg.png HTTP/2.0" 304 0 "https://157.245.62.201/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
125.163.226.93 - - [10/Apr/2023:21:49:31 +0700] "GET // HTTP/2.0" 200 13588 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:49:32 +0700] "GET /wp-includes/css/dist/block-library/style.min.css?ver=6.2 HTTP/2.0" 304 0 "https://157.245.62.201/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:49:32 +0700] "GET /wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=6.2 HTTP/2.0" 304 0 "https://157.245.62.201/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:49:32 +0700] "GET /wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.css?ver=9.4.4 HTTP/2.0" 304 0 "https://157.245.62.201/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:49:32 +0700] "GET /wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=9.4.4 HTTP/2.0" 304 0 "https://157.245.62.201/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:49:32 +0700] "GET /wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.17 HTTP/2.0" 304 0 "https://157.245.62.201/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:49:32 +0700] "GET /wp-content/plugins/cleantalk-spam-protect/css/cleantalk-public.min.css?ver=6.5 HTTP/2.0" 304 0 "https://157.245.62.201/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:49:32 +0700] "GET /wp-includes/js/jquery/jquery.min.js?ver=3.6.3 HTTP/2.0" 304 0 "https://157.245.62.201/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:49:32 +0700] "GET /wp-content/themes/storefront/assets/css/base/gutenberg-blocks.css?ver=4.2.0 HTTP/2.0" 304 0 "https://157.245.62.201/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:49:32 +0700] "GET /wp-content/themes/storefront/style.css?ver=4.2.0 HTTP/2.0" 304 0 "https://157.245.62.201/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:49:32 +0700] "GET /wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.0 HTTP/2.0" 304 0 "https://157.245.62.201/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:49:32 +0700] "GET /wp-includes/css/classic-themes.min.css?ver=6.2 HTTP/2.0" 304 0 "https://157.245.62.201/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
